nom,intérêts,niveau,competences,domaine
Personne 34,"[""Python"", ""Cloud Computing"", ""Node.js""]",Débutant,"[""Azure"", ""SQL"", ""Analyse de donn\u00e9es"", ""AWS"", ""Docker""]",Informatique
Personne 35,"[""Data Analysis""]",Intermédiaire,"[""Google Cloud"", ""Git"", ""AWS""]",Gestion de Projet
Personne 36,"[""Cloud Computing"", ""Python"", ""Computer Vision""]",Intermédiaire,"[""R"", ""Git"", ""Communication"", ""AWS""]",Développement Web
Personne 37,"[""Node.js"", ""Data Analysis"", ""React""]",Intermédiaire,"[""Tableau"", ""R\u00e9solution de probl\u00e8mes""]",Data Science
Personne 38,"[""NLP"", ""Machine Learning""]",Débutant,"[""HTML"", ""Excel"", ""Git""]",Data Science
Personne 39,"[""Data Analysis""]",Débutant,"[""Excel"", ""Gestion de projet"", ""Python"", ""Google Cloud""]",Informatique
Personne 40,"[""HTML""]",Débutant,"[""Git"", ""Python""]",Développement Web
Personne 41,"[""Cloud Computing"", ""JavaScript""]",Avancé,"[""HTML"", ""Python"", ""Tableau"", ""Excel""]",Marketing Digital
Personne 42,"[""Data Analysis""]",Avancé,"[""JavaScript"", ""Gestion de projet"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 43,"[""Data Analysis"", ""Machine Learning"", ""React""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 44,"[""Cloud Computing""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""AWS"", ""SQL""]",Informatique
Personne 45,"[""JavaScript"", ""SQL"", ""Data Analysis""]",Débutant,"[""Excel"", ""Communication""]",Développement Web
Personne 46,"[""Cloud Computing""]",Avancé,"[""Gestion de projet"", ""Communication"", ""AWS"", ""Google Cloud"", ""CSS""]",Développement Web
Personne 47,"[""Cloud Computing"", ""HTML"", ""Web Development""]",Intermédiaire,"[""Docker"", ""Analyse de donn\u00e9es"", ""Gestion de projet""]",Informatique
Personne 48,"[""Angular"", ""CSS""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Communication"", ""Excel"", ""CSS""]",Développement Web
Personne 49,"[""React""]",Débutant,"[""Power BI"", ""SQL"", ""JavaScript"", ""HTML"", ""Tableau""]",Data Science
Personne 50,"[""SQL"", ""Big Data""]",Débutant,"[""Gestion de projet"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 51,"[""Data Analysis""]",Intermédiaire,"[""HTML"", ""Communication""]",Data Science
Personne 52,"[""HTML""]",Avancé,"[""JavaScript"", ""R\u00e9solution de probl\u00e8mes"", ""Azure""]",Marketing Digital
Personne 53,"[""Web Development"", ""Node.js""]",Intermédiaire,"[""Azure"", ""HTML""]",Marketing Digital
Personne 54,"[""React"", ""Data Analysis""]",Avancé,"[""Docker"", ""JavaScript"", ""Azure"", ""Excel""]",Développement Web
Personne 55,"[""NLP"", ""SQL"", ""React""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""JavaScript"", ""AWS"", ""Gestion de projet"", ""Analyse de donn\u00e9es""]",Data Science
Personne 56,"[""JavaScript""]",Débutant,"[""Excel"", ""Gestion de projet"", ""Python"", ""Tableau""]",Développement Web
Personne 57,"[""Big Data""]",Débutant,"[""HTML"", ""Python"", ""CSS"", ""AWS""]",Développement Web
Personne 58,"[""SQL"", ""Node.js""]",Intermédiaire,"[""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""CSS"", ""Docker"", ""Tableau""]",Informatique
Personne 59,"[""Python"", ""React""]",Intermédiaire,"[""Communication"", ""AWS""]",Marketing Digital
Personne 60,"[""JavaScript"", ""Web Development""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Excel"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 61,"[""JavaScript""]",Intermédiaire,"[""AWS"", ""R""]",Marketing Digital
Personne 62,"[""SQL""]",Débutant,"[""Git"", ""Power BI""]",Informatique
Personne 63,"[""Python"", ""Node.js""]",Débutant,"[""Gestion de projet"", ""Tableau"", ""HTML""]",Data Science
Personne 64,"[""JavaScript"", ""HTML""]",Débutant,"[""Gestion de projet"", ""Docker"", ""JavaScript""]",Marketing Digital
Personne 65,"[""Node.js"", ""NLP"", ""Web Development""]",Intermédiaire,"[""Power BI"", ""Azure"", ""Gestion de projet""]",Gestion de Projet
Personne 66,"[""Web Development"", ""IA"", ""Node.js""]",Intermédiaire,"[""HTML"", ""Docker"", ""SQL"", ""CSS"", ""Google Cloud""]",Gestion de Projet
Personne 67,"[""IA""]",Débutant,"[""Power BI"", ""Tableau"", ""JavaScript"", ""Git"", ""SQL""]",Marketing Digital
Personne 68,"[""HTML"", ""Angular"", ""Python""]",Débutant,"[""Analyse de donn\u00e9es"", ""Docker"", ""Python""]",Développement Web
Personne 69,"[""SQL""]",Débutant,"[""Power BI"", ""Azure"", ""Communication""]",Data Science
Personne 70,"[""React"", ""SQL""]",Avancé,"[""AWS"", ""Gestion de projet"", ""JavaScript""]",Informatique
Personne 71,"[""NLP""]",Avancé,"[""SQL"", ""CSS""]",Data Science
Personne 72,"[""Python"", ""Node.js""]",Avancé,"[""Power BI"", ""Gestion de projet"", ""AWS"", ""Python"", ""JavaScript""]",Développement Web
Personne 73,"[""JavaScript""]",Débutant,"[""Docker"", ""SQL"", ""Tableau"", ""AWS"", ""HTML""]",Data Science
Personne 74,"[""Node.js""]",Débutant,"[""Git"", ""Communication"", ""JavaScript""]",Data Science
Personne 75,"[""Cloud Computing"", ""NLP""]",Avancé,"[""CSS"", ""R\u00e9solution de probl\u00e8mes"", ""AWS""]",Marketing Digital
Personne 76,"[""React"", ""JavaScript""]",Intermédiaire,"[""Communication"", ""AWS"", ""Gestion de projet"", ""Google Cloud""]",Data Science
Personne 77,"[""Node.js"", ""Big Data""]",Avancé,"[""Python"", ""Communication""]",Informatique
Personne 78,"[""SQL"", ""React""]",Débutant,"[""JavaScript"", ""Python""]",Informatique
Personne 79,"[""Node.js"", ""Computer Vision"", ""Data Analysis""]",Avancé,"[""SQL"", ""HTML"", ""R"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 80,"[""SQL"", ""Computer Vision""]",Intermédiaire,"[""CSS"", ""Excel"", ""Azure"", ""JavaScript""]",Data Science
Personne 81,"[""Web Development""]",Avancé,"[""Excel"", ""Git"", ""Google Cloud"", ""Gestion de projet""]",Informatique
Personne 82,"[""Data Analysis""]",Intermédiaire,"[""Git"", ""Analyse de donn\u00e9es"", ""CSS"", ""Google Cloud"", ""Python""]",Marketing Digital
Personne 83,"[""Big Data"", ""Data Analysis"", ""React""]",Avancé,"[""Gestion de projet"", ""Google Cloud"", ""Git""]",Informatique
Personne 84,"[""React"", ""JavaScript""]",Débutant,"[""Python"", ""Communication""]",Gestion de Projet
Personne 85,"[""HTML""]",Avancé,"[""SQL"", ""Excel"", ""Docker"", ""Communication"", ""Tableau""]",Informatique
Personne 86,"[""Angular"", ""Computer Vision"", ""Cloud Computing""]",Débutant,"[""Python"", ""Analyse de donn\u00e9es"", ""AWS"", ""Gestion de projet"", ""Excel""]",Marketing Digital
Personne 87,"[""Angular"", ""IA""]",Intermédiaire,"[""SQL"", ""Communication"", ""CSS"", ""Tableau"", ""JavaScript""]",Développement Web
Personne 88,"[""SQL""]",Débutant,"[""SQL"", ""Git"", ""Excel""]",Gestion de Projet
Personne 89,"[""React"", ""Cloud Computing"", ""Computer Vision""]",Intermédiaire,"[""SQL"", ""JavaScript"", ""Excel""]",Marketing Digital
Personne 90,"[""JavaScript"", ""Data Analysis"", ""Big Data""]",Débutant,"[""Gestion de projet"", ""Excel""]",Gestion de Projet
Personne 91,"[""Web Development""]",Débutant,"[""Python"", ""R\u00e9solution de probl\u00e8mes"", ""Google Cloud""]",Data Science
Personne 92,"[""Cloud Computing""]",Avancé,"[""Communication"", ""Docker"", ""HTML""]",Gestion de Projet
Personne 93,"[""CSS""]",Débutant,"[""Google Cloud"", ""HTML""]",Informatique
Personne 94,"[""CSS""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Google Cloud"", ""AWS"", ""Tableau""]",Gestion de Projet
Personne 95,"[""IA"", ""Node.js""]",Intermédiaire,"[""HTML"", ""Gestion de projet"", ""Excel"", ""SQL""]",Gestion de Projet
Personne 96,"[""Data Analysis""]",Intermédiaire,"[""Git"", ""HTML""]",Gestion de Projet
Personne 97,"[""Cloud Computing"", ""CSS"", ""Node.js""]",Débutant,"[""SQL"", ""Gestion de projet"", ""HTML"", ""Docker"", ""Git""]",Développement Web
Personne 98,"[""Computer Vision"", ""NLP"", ""Cloud Computing""]",Avancé,"[""SQL"", ""JavaScript"", ""Communication"", ""Google Cloud"", ""Gestion de projet""]",Gestion de Projet
Personne 99,"[""HTML""]",Intermédiaire,"[""Communication"", ""Gestion de projet"", ""R\u00e9solution de probl\u00e8mes"", ""HTML""]",Informatique
Personne 100,"[""Angular""]",Intermédiaire,"[""Gestion de projet"", ""Python"", ""Communication""]",Marketing Digital
Personne 101,"[""HTML"", ""IA""]",Débutant,"[""Tableau"", ""Azure"", ""R\u00e9solution de probl\u00e8mes"", ""CSS"", ""R""]",Gestion de Projet
Personne 102,"[""Node.js"", ""Machine Learning"", ""NLP""]",Avancé,"[""Analyse de donn\u00e9es"", ""Tableau""]",Gestion de Projet
Personne 103,"[""Web Development"", ""Python"", ""Data Analysis""]",Avancé,"[""R"", ""SQL"", ""Python"", ""Communication""]",Gestion de Projet
Personne 104,"[""SQL"", ""Cloud Computing""]",Débutant,"[""Tableau"", ""Docker"", ""Excel"", ""JavaScript"", ""Gestion de projet""]",Gestion de Projet
Personne 105,"[""Python"", ""Machine Learning"", ""SQL""]",Avancé,"[""AWS"", ""Power BI""]",Gestion de Projet
Personne 106,"[""Data Analysis"", ""Big Data"", ""Machine Learning""]",Avancé,"[""SQL"", ""JavaScript"", ""AWS"", ""Google Cloud"", ""Azure""]",Gestion de Projet
Personne 107,"[""React"", ""CSS"", ""Python""]",Avancé,"[""JavaScript"", ""AWS""]",Gestion de Projet
Personne 108,"[""HTML"", ""Python""]",Intermédiaire,"[""JavaScript"", ""Python"", ""Docker"", ""Tableau"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 109,"[""Python"", ""Node.js"", ""HTML""]",Avancé,"[""Power BI"", ""SQL"", ""R""]",Informatique
Personne 110,"[""Big Data"", ""JavaScript"", ""NLP""]",Débutant,"[""SQL"", ""Power BI"", ""Analyse de donn\u00e9es"", ""Gestion de projet"", ""Google Cloud""]",Développement Web
Personne 111,"[""Cloud Computing"", ""Machine Learning""]",Intermédiaire,"[""Tableau"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 112,"[""SQL"", ""JavaScript""]",Débutant,"[""AWS"", ""SQL"", ""Power BI"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 113,"[""NLP""]",Débutant,"[""HTML"", ""Gestion de projet"", ""R"", ""CSS""]",Développement Web
Personne 114,"[""Big Data"", ""React""]",Débutant,"[""Google Cloud"", ""Tableau"", ""Docker"", ""Git""]",Data Science
Personne 115,"[""Machine Learning""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""R"", ""JavaScript""]",Informatique
Personne 116,"[""JavaScript"", ""HTML""]",Avancé,"[""CSS"", ""AWS"", ""Tableau"", ""Google Cloud""]",Développement Web
Personne 117,"[""Computer Vision""]",Avancé,"[""Python"", ""JavaScript"", ""Communication"", ""Docker""]",Data Science
Personne 118,"[""Node.js"", ""IA"", ""SQL""]",Intermédiaire,"[""Docker"", ""CSS""]",Marketing Digital
Personne 119,"[""JavaScript""]",Débutant,"[""SQL"", ""Azure"", ""Gestion de projet""]",Gestion de Projet
Personne 120,"[""Big Data""]",Avancé,"[""SQL"", ""Git"", ""Tableau"", ""AWS""]",Data Science
Personne 121,"[""CSS""]",Avancé,"[""Gestion de projet"", ""Google Cloud"", ""R\u00e9solution de probl\u00e8mes"", ""Excel""]",Développement Web
Personne 122,"[""CSS"", ""JavaScript""]",Avancé,"[""HTML"", ""Analyse de donn\u00e9es"", ""Git"", ""JavaScript""]",Marketing Digital
Personne 123,"[""JavaScript""]",Intermédiaire,"[""Python"", ""Analyse de donn\u00e9es"", ""Power BI"", ""Azure""]",Data Science
Personne 124,"[""HTML"", ""Big Data""]",Débutant,"[""Analyse de donn\u00e9es"", ""Git""]",Développement Web
Personne 125,"[""JavaScript""]",Intermédiaire,"[""Google Cloud"", ""R"", ""Python"", ""Excel""]",Data Science
Personne 126,"[""Data Analysis"", ""Python"", ""React""]",Débutant,"[""Communication"", ""Analyse de donn\u00e9es"", ""Gestion de projet""]",Marketing Digital
Personne 127,"[""CSS""]",Avancé,"[""Excel"", ""Analyse de donn\u00e9es""]",Data Science
Personne 128,"[""Computer Vision"", ""Angular"", ""Node.js""]",Avancé,"[""Python"", ""Communication"", ""HTML"", ""Gestion de projet""]",Développement Web
Personne 129,"[""CSS"", ""Cloud Computing"", ""Web Development""]",Débutant,"[""Gestion de projet"", ""Google Cloud""]",Informatique
Personne 130,"[""Web Development"", ""Python"", ""Computer Vision""]",Avancé,"[""Excel"", ""R""]",Data Science
Personne 131,"[""NLP"", ""Data Analysis"", ""JavaScript""]",Débutant,"[""Analyse de donn\u00e9es"", ""Python""]",Data Science
Personne 132,"[""HTML""]",Intermédiaire,"[""Excel"", ""Analyse de donn\u00e9es""]",Informatique
Personne 133,"[""NLP""]",Intermédiaire,"[""Google Cloud"", ""R\u00e9solution de probl\u00e8mes"", ""Power BI"", ""Communication"", ""Git""]",Informatique
Personne 134,"[""Web Development"", ""JavaScript""]",Débutant,"[""Analyse de donn\u00e9es"", ""Docker"", ""CSS"", ""Python"", ""JavaScript""]",Informatique
Personne 135,"[""Angular""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""Analyse de donn\u00e9es"", ""R"", ""Communication"", ""Azure""]",Marketing Digital
Personne 136,"[""Angular"", ""JavaScript""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""R"", ""Analyse de donn\u00e9es"", ""Power BI""]",Data Science
Personne 137,"[""NLP"", ""Python""]",Avancé,"[""Excel"", ""JavaScript"", ""Tableau""]",Gestion de Projet
Personne 138,"[""Angular"", ""HTML"", ""React""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Docker"", ""Excel"", ""JavaScript""]",Informatique
Personne 139,"[""Big Data""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""Google Cloud"", ""Power BI"", ""Gestion de projet"", ""Docker""]",Informatique
Personne 140,"[""NLP"", ""SQL"", ""HTML""]",Débutant,"[""AWS"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 141,"[""Cloud Computing"", ""Web Development""]",Débutant,"[""Gestion de projet"", ""Communication"", ""R""]",Informatique
Personne 142,"[""NLP""]",Débutant,"[""Communication"", ""JavaScript"", ""SQL""]",Marketing Digital
Personne 143,"[""Web Development"", ""Big Data"", ""Cloud Computing""]",Avancé,"[""SQL"", ""Power BI""]",Informatique
Personne 144,"[""SQL"", ""Web Development"", ""IA""]",Débutant,"[""Python"", ""Docker"", ""AWS"", ""JavaScript""]",Marketing Digital
Personne 145,"[""Machine Learning""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Tableau""]",Informatique
Personne 146,"[""SQL"", ""Machine Learning"", ""Web Development""]",Intermédiaire,"[""Google Cloud"", ""Azure""]",Informatique
Personne 147,"[""JavaScript"", ""Web Development"", ""HTML""]",Intermédiaire,"[""CSS"", ""HTML"", ""Tableau"", ""AWS""]",Data Science
Personne 148,"[""Web Development"", ""Computer Vision""]",Débutant,"[""Communication"", ""Docker"", ""SQL"", ""Excel""]",Gestion de Projet
Personne 149,"[""Node.js""]",Intermédiaire,"[""HTML"", ""AWS""]",Informatique
Personne 150,"[""Cloud Computing"", ""JavaScript""]",Avancé,"[""Analyse de donn\u00e9es"", ""Power BI""]",Marketing Digital
Personne 151,"[""Big Data""]",Débutant,"[""Analyse de donn\u00e9es"", ""Tableau"", ""SQL"", ""AWS""]",Gestion de Projet
Personne 152,"[""React"", ""IA"", ""Machine Learning""]",Intermédiaire,"[""Tableau"", ""Python"", ""Communication"", ""Docker"", ""Git""]",Gestion de Projet
Personne 153,"[""Cloud Computing""]",Intermédiaire,"[""Excel"", ""AWS"", ""Analyse de donn\u00e9es"", ""SQL"", ""R""]",Développement Web
Personne 154,"[""IA"", ""CSS""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Docker"", ""CSS"", ""Gestion de projet"", ""Tableau""]",Développement Web
Personne 155,"[""HTML"", ""Computer Vision""]",Intermédiaire,"[""Docker"", ""JavaScript"", ""HTML"", ""SQL""]",Data Science
Personne 156,"[""Python"", ""JavaScript"", ""HTML""]",Intermédiaire,"[""HTML"", ""Tableau""]",Marketing Digital
Personne 157,"[""JavaScript""]",Intermédiaire,"[""Gestion de projet"", ""R\u00e9solution de probl\u00e8mes"", ""Analyse de donn\u00e9es"", ""Communication"", ""Excel""]",Marketing Digital
Personne 158,"[""Cloud Computing"", ""NLP"", ""Angular""]",Débutant,"[""Communication"", ""R\u00e9solution de probl\u00e8mes"", ""Python"", ""AWS""]",Gestion de Projet
Personne 159,"[""Machine Learning""]",Avancé,"[""Google Cloud"", ""CSS"", ""Analyse de donn\u00e9es""]",Data Science
Personne 160,"[""CSS"", ""Computer Vision""]",Intermédiaire,"[""R"", ""Google Cloud"", ""HTML""]",Data Science
Personne 161,"[""Web Development"", ""Data Analysis"", ""Angular""]",Débutant,"[""Google Cloud"", ""Python"", ""Excel"", ""Communication"", ""Tableau""]",Data Science
Personne 162,"[""Machine Learning""]",Intermédiaire,"[""Azure"", ""Google Cloud"", ""Power BI""]",Gestion de Projet
Personne 163,"[""Angular""]",Intermédiaire,"[""Communication"", ""Docker""]",Data Science
Personne 164,"[""CSS""]",Débutant,"[""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes"", ""Excel"", ""Azure""]",Data Science
Personne 165,"[""Angular"", ""Web Development""]",Avancé,"[""Git"", ""Azure"", ""Communication""]",Informatique
Personne 166,"[""CSS"", ""Cloud Computing"", ""Data Analysis""]",Débutant,"[""JavaScript"", ""Docker"", ""Google Cloud""]",Marketing Digital
Personne 167,"[""Web Development"", ""HTML""]",Intermédiaire,"[""Docker"", ""Power BI""]",Développement Web
Personne 168,"[""Computer Vision"", ""Angular"", ""HTML""]",Intermédiaire,"[""Azure"", ""Analyse de donn\u00e9es"", ""Excel"", ""CSS""]",Informatique
Personne 169,"[""Data Analysis"", ""React""]",Avancé,"[""CSS"", ""Analyse de donn\u00e9es"", ""Power BI"", ""R""]",Marketing Digital
Personne 170,"[""HTML"", ""Data Analysis""]",Intermédiaire,"[""R"", ""Analyse de donn\u00e9es"", ""Tableau"", ""Communication""]",Informatique
Personne 171,"[""React"", ""Data Analysis""]",Débutant,"[""Google Cloud"", ""SQL"", ""Python"", ""Gestion de projet"", ""Tableau""]",Marketing Digital
Personne 172,"[""SQL"", ""Python"", ""JavaScript""]",Intermédiaire,"[""R"", ""Communication"", ""AWS"", ""Power BI"", ""Docker""]",Développement Web
Personne 173,"[""CSS"", ""HTML""]",Avancé,"[""JavaScript"", ""AWS"", ""Google Cloud""]",Data Science
Personne 174,"[""NLP""]",Avancé,"[""Google Cloud"", ""Git"", ""Excel""]",Data Science
Personne 175,"[""IA"", ""NLP""]",Avancé,"[""Communication"", ""Gestion de projet""]",Marketing Digital
Personne 176,"[""Machine Learning"", ""Cloud Computing""]",Débutant,"[""AWS"", ""R"", ""SQL"", ""Gestion de projet"", ""Tableau""]",Marketing Digital
Personne 177,"[""HTML"", ""Angular""]",Débutant,"[""Python"", ""JavaScript""]",Informatique
Personne 178,"[""Big Data"", ""Data Analysis"", ""NLP""]",Débutant,"[""Gestion de projet"", ""Power BI"", ""R\u00e9solution de probl\u00e8mes"", ""AWS""]",Informatique
Personne 179,"[""Machine Learning""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Analyse de donn\u00e9es"", ""Git"", ""Python""]",Gestion de Projet
Personne 180,"[""IA"", ""Computer Vision""]",Débutant,"[""SQL"", ""Google Cloud"", ""Excel"", ""Git""]",Marketing Digital
Personne 181,"[""Cloud Computing"", ""Data Analysis"", ""CSS""]",Débutant,"[""Git"", ""R"", ""Azure"", ""Tableau"", ""Google Cloud""]",Développement Web
Personne 182,"[""Web Development"", ""Machine Learning""]",Avancé,"[""Git"", ""Python"", ""JavaScript""]",Informatique
Personne 183,"[""Data Analysis"", ""Python"", ""Angular""]",Avancé,"[""CSS"", ""Gestion de projet"", ""SQL"", ""HTML"", ""Google Cloud""]",Informatique
Personne 184,"[""Cloud Computing""]",Avancé,"[""R"", ""Communication"", ""Google Cloud"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 185,"[""Machine Learning""]",Débutant,"[""HTML"", ""Azure"", ""SQL"", ""Python""]",Data Science
Personne 186,"[""IA"", ""Machine Learning""]",Avancé,"[""R"", ""Excel"", ""Google Cloud""]",Marketing Digital
Personne 187,"[""CSS"", ""Angular"", ""Data Analysis""]",Avancé,"[""AWS"", ""Power BI"", ""HTML"", ""SQL""]",Data Science
Personne 188,"[""Cloud Computing"", ""SQL""]",Débutant,"[""Analyse de donn\u00e9es"", ""HTML"", ""Azure"", ""AWS"", ""Power BI""]",Marketing Digital
Personne 189,"[""Data Analysis""]",Débutant,"[""HTML"", ""Docker"", ""Azure""]",Informatique
Personne 190,"[""Computer Vision"", ""SQL"", ""Machine Learning""]",Débutant,"[""Communication"", ""Azure"", ""Google Cloud"", ""CSS"", ""Gestion de projet""]",Développement Web
Personne 191,"[""NLP"", ""Cloud Computing"", ""Machine Learning""]",Intermédiaire,"[""SQL"", ""Analyse de donn\u00e9es"", ""Tableau"", ""Git""]",Marketing Digital
Personne 192,"[""HTML"", ""JavaScript""]",Intermédiaire,"[""Python"", ""AWS""]",Gestion de Projet
Personne 193,"[""CSS""]",Avancé,"[""CSS"", ""Excel"", ""Tableau"", ""Python"", ""HTML""]",Gestion de Projet
Personne 194,"[""SQL""]",Débutant,"[""JavaScript"", ""AWS"", ""Communication""]",Gestion de Projet
Personne 195,"[""Python"", ""IA""]",Avancé,"[""Python"", ""Communication"", ""R\u00e9solution de probl\u00e8mes"", ""Power BI""]",Gestion de Projet
Personne 196,"[""HTML"", ""CSS""]",Débutant,"[""JavaScript"", ""SQL"", ""Excel"", ""Docker""]",Gestion de Projet
Personne 197,"[""Data Analysis""]",Intermédiaire,"[""Communication"", ""R""]",Data Science
Personne 198,"[""Computer Vision"", ""Cloud Computing""]",Avancé,"[""Google Cloud"", ""R""]",Gestion de Projet
Personne 199,"[""Node.js"", ""Big Data"", ""Angular""]",Intermédiaire,"[""Git"", ""Tableau"", ""SQL"", ""HTML""]",Data Science
Personne 200,"[""Python"", ""CSS"", ""React""]",Intermédiaire,"[""Google Cloud"", ""R"", ""Tableau""]",Marketing Digital
Personne 201,"[""React"", ""JavaScript"", ""Python""]",Avancé,"[""Google Cloud"", ""Azure""]",Marketing Digital
Personne 202,"[""Web Development"", ""Angular"", ""Python""]",Débutant,"[""CSS"", ""Docker"", ""Tableau""]",Marketing Digital
Personne 203,"[""CSS"", ""Machine Learning""]",Intermédiaire,"[""SQL"", ""Python""]",Gestion de Projet
